num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival,tick
15,3,0,0,0,0,0,0,99.83333333333333,0.0,0,1
15,6,0,0,0,0,0,0,99.66666666666667,0.0,1,2
15,26,0,0,0,0,6,0,99.5,0.0,2,3
15,30,0,0,0,0,12,0,99.33333333333333,0.0,3,4
15,32,0,0,0,0,15,0,99.16666666666667,0.0,4,5
15,32,0,0,0,0,15,0,99.0,0.0,5,6
15,50,0,0,0,0,27,0,98.83333333333333,0.0,6,7
15,53,0,0,0,0,33,0,98.66666666666667,0.0,7,8
15,53,0,0,0,1,42,0,98.5,0.0,8,9
15,58,0,0,0,1,51,0,98.33333333333333,0.0,9,10
15,61,0,0,0,1,63,0,98.16666666666667,0.0,10,11
15,65,0,0,0,1,72,0,98.0,0.0,11,12
15,65,0,0,0,2,78,0,97.83333333333333,0.0,12,13
15,68,0,0,0,2,93,0,97.66666666666667,0.0,13,14
15,72,0,0,0,2,102,1,97.5,0.0,14,15
15,75,0,0,0,2,108,2,97.33333333333333,0.0,15,16
15,76,0,0,0,2,117,2,97.16666666666667,0.0,16,17
15,79,0,0,0,2,126,2,97.0,0.0,17,18
15,79,0,0,0,2,126,2,96.83333333333333,0.0,18,19
15,80,0,0,0,2,138,2,96.66666666666667,0.0,19,20
